ds,y,visibility,temp_max,temp_min,humidity,wind_speed,precip,y_lag_1,y_lag_diff_1,day__0,day__1,day__2,day__3,day__4,day__5,day__6
2016-06-06,13.0,10.0,31.7,22.2,55.333333333333336,6.0,0.0,5.0,0.0,1,0,0,0,0,0,0
2016-06-07,10.0,10.0,32.8,21.1,70.66666666666667,2.6666666666666665,0.0,13.0,8.0,0,1,0,0,0,0,0
2016-06-08,23.0,9.666666666666666,32.8,22.8,76.33333333333333,4.666666666666667,0.0,10.0,-3.0,0,0,1,0,0,0,0
2016-06-09,40.0,9.666666666666666,32.8,23.3,78.66666666666667,5.666666666666667,0.0,23.0,13.0,0,0,0,1,0,0,0
2016-06-10,36.0,9.333333333333334,32.2,22.2,80.33333333333333,4.0,0.0,40.0,17.0,0,0,0,0,1,0,0
2016-06-11,30.0,8.555555555555555,32.2,25.3,89.5,6.5,0.0,36.0,-4.0,0,0,0,0,0,1,0
2016-06-12,32.0,9.333333333333334,33.3,26.4,92.66666666666667,7.333333333333333,0.0,30.0,-6.0,0,0,0,0,0,0,1
2016-06-13,11.0,10.0,33.9,26.1,74.66666666666667,6.333333333333333,0.0,32.0,2.0,1,0,0,0,0,0,0
2016-06-14,16.0,9.666666666666666,33.3,26.7,76.0,7.0,0.0,11.0,-21.0,0,1,0,0,0,0,0
2016-06-15,10.0,8.5,35.0,33.3,69.5,8.5,0.0,16.0,5.0,0,0,1,0,0,0,0
2016-06-16,69.0,10.0,35.6,34.4,67.0,8.5,0.0,10.0,-6.0,0,0,0,1,0,0,0
2016-06-17,166.0,9.666666666666666,35.0,25.600000000000005,88.16666666666667,7.111111111111111,0.0,69.0,59.0,0,0,0,0,1,0,0
2016-06-18,206.0,9.666666666666666,35.0,25.85,86.66666666666667,6.333333333333333,0.0,166.0,97.0,0,0,0,0,0,1,0
2016-06-19,190.0,10.0,34.4,26.7,83.5,7.0,0.0,206.0,40.0,0,0,0,0,0,0,1
2016-06-20,75.0,10.0,35.0,24.4,82.83333333333333,3.6666666666666665,0.0,190.0,-16.0,1,0,0,0,0,0,0
2016-06-21,48.0,10.0,35.6,25.6,74.0,6.0,0.0,75.0,-115.0,0,1,0,0,0,0,0
2016-06-22,98.0,10.0,34.4,25.6,75.0,6.666666666666667,0.0,48.0,-27.0,0,0,1,0,0,0,0
2016-06-23,74.0,10.0,30.0,24.7,89.0,7.0,0.0,98.0,50.0,0,0,0,1,0,0,0
2016-06-24,74.0,10.0,32.8,25.0,80.0,7.333333333333333,0.0,74.0,-24.0,0,0,0,0,1,0,0
